N,comment,Year,hour_z_time,an,Language
2,Drops mic🕺,2022-10-26,18,O,en
3,Champ,2022-10-26,02,O,en
4,"I&#39;d     like     last     ,, man   ,,    you    dropped   of  ,, ,,      you    what <br><br> The    white    is    it. !,",2022-10-26,01,O,en
5,Swaggiest prez we ever had. Miss him.,2022-10-25,23,O,af
6,FOREVER MY PRESIDENT<br>I wished we could have kept him for 8 more yrs,2022-10-25,22,P,en
7,I’m 61 years old. And I can confirm that Mr. Obama was the best president the USA had during these 6 decades.,2022-10-25,18,P,en
8,Red Wedding 🚨 Be ready for what this sick evil traitor is already doing and what he is about to do. Evil.,2022-10-25,16,N,en
9,"Mr. Obama,<br>Are you with us, or with Mullas?",2022-10-25,13,O,en
10,POS Traitor!,2022-10-25,12,O,en
11,California,2022-10-25,00,O,en
12,Surcarlina,2022-10-25,00,O,ro
13,Merilan,2022-10-25,00,O,tr
14,Miyone.enpresa madonaartitamichigan,2022-10-25,00,O,es
15,Hogui24 madona24,2022-10-25,00,O,pt
16,Gogle24,2022-10-25,00,O,cy
17,Masachusee24 boton24,2022-10-25,00,O,en
18,Texa24,2022-10-25,00,O,so
19,La soni24,2022-10-25,00,O,it
20,Bron24bruklin24,2022-10-25,00,O,af
21,Canada24,2022-10-24,23,O,so
22,Florida24,2022-10-24,23,O,pt
23,Filaderfia24,2022-10-24,23,O,es
24,Living24,2022-10-24,23,O,en
25,Wormanhirirlebron24,2022-10-24,23,O,en
26,Hatlanta24biden,2022-10-24,23,O,tr
27,Minesota24,2022-10-24,23,O,fi
28,Yanki24,2022-10-24,23,O,tr
29,Wsinton24 hobams,2022-10-24,23,O,en
30,Hobamabiden24,2022-10-24,23,O,so
31,Thank u so much barrack Obama u make me happy and want come meet me,2022-10-24,19,P,en
32,&quot;President&quot; Omonkey.,2022-10-24,16,O,ca
33,"Obama mentions repeatedly how important a free press is to honest American democracy. Of course Obama is talking about honest reporters doing the hard work of shining light into corners across the globe, including Iran and Syria. Tucker Carlson at Fox will not be considered honest; for he is a propagandist spreading every fake tale that far-right folk wish to spread here in America.",2022-10-24,05,P,en
34,Miss that time so badly.,2022-10-24,05,N,en
35,Wish he would run for President again.,2022-10-24,05,O,en
36,God bless president Obama in the whole family,2022-10-24,00,P,en
37,Very proud supporter of lgbtqdfd.i heard he married into it . He so intelligent.,2022-10-23,16,P,en
38,God I miss this man!,2022-10-23,15,O,en
39,"Then after this found out even more about &#39;Russiagate&#39;, FBI, DOJ, Hunter Boy Toy and more. <br>Wonder, if &#39;the plans&#39; already in place while trying to be funny here. <br>Then not funny, and the more we know, even more so. <br>Ahhh, Merrick Garland our current US AG a &#39;friend&#39; then. <br>The current Prezbo appointed Prezbo AG, sure you all realize. <br>Difficult &quot;transition&#39;, and yet today know Obawaa there many times over. <br>No leaving. <br>See what happened to CNN <br>OH, what a shame. 😉",2022-10-23,08,P,en
40,"So glad to once again revel in the LEAVING of Obawaa, and everyone else. <br>Turns out, many &#39;leftovers&#39; in the PREZBO disgusting incompetent &quot;administration &#39;<br>Can&#39;t wait to see the USA Helicopter take Prezbo and the &#39;First Lady&#39; out of anywhere near the US Capitol. <br>Always a dig with Obawaa.<br>Then Russia, Russia, Russia kept going on. <br>Love you President Trump!<br>Melania!<br>USA!<br>LGB!<br>MAGA!!!",2022-10-23,08,N,en
41,Yeah we know abaut bathroom you like that,2022-10-23,02,O,en
42,"Best President ever! I’ve watched this several times, I love him!!",2022-10-22,20,P,en
43,"When presidents were respected, at home and abroad. Our last real president, not a reality tv.joke",2022-10-22,10,P,en
44,"ZERO INDICTMENTS, ZERO PEOPLE GOING TO PRISON, great POTUS",2022-10-22,00,P,en
45,"obama es el PEOR hombre del mundo entero, tu y todos tus complices del mal CAÈN a la profundidad del abismo xqué alli es su lugar",2022-10-21,07,N,es
46,Worst President ever!! So divisive!!,2022-10-20,23,N,en
47,This man put us nine trillion dollars in debt. Notice the prejudice way he talks,2022-10-20,21,O,en
48,"Of course Michelle looks younger, her husband was the President. She was choosing which most expensive wallpapers they want to decorate their walls with.",2022-10-20,11,O,en
49,His husband Michael!! He can do planks I’m sure.  Look at him!,2022-10-20,01,P,en
50,Good riddens with this fool.  People really think he’s funny? I think it’s funny that he’s married to a dude!! 😅😅Now let’s get Creepy Joe out!!,2022-10-20,01,P,en
51,He has the greatest personality and is a great dancer and a great singer he&#39;s so relatable that&#39;s why I always loved him I wasn&#39;t scared when he was president only now I am just think Donald Trump may win which I doubt,2022-10-20,00,P,en
52,The Kenyan is in his 3rd term right now. He is like a sore that won&#39;t heal.,2022-10-19,14,P,en
53,Always too cute for the situation.<br>Please stay retired!,2022-10-19,07,P,en
54,🔱🐯,2022-10-18,14,O,en
55,The people laughing the most often know the most secrets,2022-10-18,01,P,en
56,Even Obama thought Hillary would win that aged well,2022-10-18,01,P,en
57,Is this a roast or an exit speech lmao,2022-10-17,23,P,en
58,I wish Obama would run again. The United States NEEDS HIM.,2022-10-16,22,O,en
59,Oh how I miss a REAL President!,2022-10-16,22,P,en
60,Wed. Oct.   26.   Bidsagfhyklcnoma<br>Sanopuyresakano. Anopuresaknopuyresa. Ronouresaknopuyresano.  Yanesakopuyresa<br>Uononesanomano  nesanomackomane. Nolynesaknopuyresano. Sonopuyresakmopuresano<br> Anopoponesaknuyresano. Bonesaknopuyresakno  pnesanopuresano.  Nesakopuyresanone <br>Pnesakopuyresako. Nopuyresaknopuresa. Melissa. Sestoso. No. Uyresaknesakomlyacano😀,2022-10-16,14,O,tl
61,Tnu.  Dec.   2.  34.  1OOO. CONESAKMOPUYRESA.  15.  ESAKOPURESAKOANE.  18. JONESAKOPIUYRESA.  DONESAKOPUYTRESANOPUYRE.   2. UONUYRESAKOPUYTRE.  VANESSA😍<br>EDOPUYRESAKMOPUYRESA.  SAKOPUYRESAKOPUYRESA.  LOLONESAKMOPURESANO,2022-10-16,06,O,en
62,Monuyresadfghopicbno. Isekmopuyresakonesa.  Nouopuresakmesadfghamo. Vanessa❤❤,2022-10-16,06,O,pt
63,Trudeau sucks 🇨🇦,2022-10-16,00,N,ro
64,"Just watched this again, loved this President",2022-10-15,23,P,en
65,He was the best in every way imaginable!  Greatly missed!!,2022-10-15,04,P,en
66,He will go down in history as one of the Top 5 Presidents of all time for the USA.,2022-10-15,02,P,en
67,This class act never gets old.,2022-10-15,00,P,en
68,This is what true leadership is.,2022-10-14,21,P,en
69,Class act.,2022-10-14,05,O,en
70,Hi Barack do you realize how much you are loved! You are the best thing that ever happened to the states! We love you in Canada! ❤️🤗,2022-10-14,04,P,en
71,"Oh how we miss you, Mr. President.",2022-10-14,04,O,en
72,P.O.S.!!!<br><br>He hates America.,2022-10-13,18,O,en
73,"Pres. Obama is handsome, First Lady is very pretty.",2022-10-13,18,P,en
